Format Version,1.22,Take Name,Section1 No4,Capture Frame Rate,256,Export Frame Rate,256,Capture Start Time,2019-12-12 06.03.40.923 ÂçàÂæ?Total Frames in Take,33126,Total Exported Frames,33126,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Glob,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
36,0.140625,0.000174,-3.90E-05,-3.40E-05,-1,-48.259239,-3.78653,31.652391,0.013178,-98.921059,-4.156489,81.063065,0.998352,1.837537,-3.653905,82.829941,0.996659,2.220385,-3.443659,-17.273359,0.994885,-98.17382,-3.892065,-20.010069,0.996926,-98.920486,-4.154811,81.064857,1.8395,-3.655189,82.817955,2.209899,-3.432502,-17.260141,-98.163506,-3.892778,-20.011009,,,,,,,,,,,,,,,,,,
37,0.144531,5.30E-05,-5.70E-05,-1.00E-05,-1,-48.240658,-4.551575,31.519405,0.011956,-98.900749,-4.931028,80.93177,0.996721,1.857933,-4.433734,82.695213,0.995722,2.237253,-4.199318,-17.408039,0.998611,-98.157074,-4.642218,-20.141319,0.99699,-98.90667,-4.935955,80.936142,1.872636,-4.433661,82.693184,2.23246,-4.201124,-17.398108,-98.159714,-4.636225,-20.152649,,,,,,,,,,,,,,,,,,
38,0.148438,0.000108,-4.70E-05,-1.20E-05,-1,-48.251858,-4.593441,31.599787,0.010263,-98.912964,-4.967678,81.011147,0.997392,1.84568,-4.469745,82.776619,0.997534,2.227061,-4.246348,-17.326653,0.99603,-98.167206,-4.689991,-20.061954,0.998781,-98.912285,-4.973007,81.005821,1.854217,-4.474734,82.770256,2.218407,-4.238444,-17.313469,-98.166885,-4.687766,-20.063332,,,,,,,,,,,,,,,,,,
39,0.152344,0.00017,-3.40E-05,-9.00E-06,-1,-48.251949,-3.761937,31.608381,0.006064,-98.914322,-4.129848,81.018478,0.998591,1.844276,-3.632244,82.786484,0.998363,2.228226,-3.421111,-17.316814,0.997819,-98.165977,-3.864545,-20.05463,0.999164,-98.915237,-4.129937,81.019623,1.849302,-3.634724,82.780716,2.224336,-3.417311,-17.308889,-98.163895,-3.86342,-20.057718,,,,,,,,,,,,,,,,,,
40,0.15625,-4.80E-05,-6.10E-05,-3.00E-06,-1,-48.240387,-5.01742,31.509951,0.013586,-98.900047,-5.406194,80.922668,0.997201,1.858648,-4.910621,82.685349,0.994572,2.237108,-4.655939,-17.417856,0.997481,-98.157242,-5.096925,-20.150356,0.99716,-98.908974,-5.403483,80.921455,1.878107,-4.922231,82.680321,2.238384,-4.653963,-17.405708,-98.166557,-5.091683,-20.154909,,,,,,,,,,,,,,,,,,
41,0.160156,0.000138,-3.50E-05,-3.50E-05,-1,-48.258514,-3.920492,31.654194,0.01305,-98.920731,-4.294165,81.0644,0.998192,1.837838,-3.791493,82.832176,0.996252,2.221514,-3.573944,-17.271105,0.995327,-98.172668,-4.022366,-20.00869,0.997179,-98.921021,-4.295007,81.063538,1.840095,-3.79298,82.818863,2.214462,-3.566213,-17.257309,-98.165451,-4.018785,-20.00514,,,,,,,,,,,,,,,,,,
42,0.164063,2.10E-05,-3.60E-05,-4.90E-05,-1,-48.244221,-4.36038,31.534477,0.010524,-98.906364,-4.747004,80.944672,0.997333,1.852196,-4.241896,82.71241,0.99628,2.235725,-4.001,-17.390814,0.997505,-98.15844,-4.451622,-20.128363,0.998358,-98.91214,-4.747941,80.945305,1.864967,-4.247692,82.706306,2.229879,-3.99621,-17.379435,-98.158905,-4.449808,-20.133753,,,,,,,,,,,,,,,,,,
43,0.167969,9.60E-05,-4.40E-05,-1.30E-05,-1,-48.250778,-4.767186,31.579983,0.007366,-98.912102,-5.142721,80.991104,0.998254,1.846526,-4.644573,82.757042,0.997002,2.228361,-4.418808,-17.346226,0.998838,-98.165901,-4.862643,-20.081985,0.99854,-98.91748,-5.147073,80.991951,1.857149,-4.645374,82.752953,2.227947,-4.422656,-17.33987,-98.169266,-4.854994,-20.085835,,,,,,,,,,,,,,,,,,
44,0.171875,0.000188,-3.20E-05,-2.90E-05,-1,-48.255619,-3.695116,31.628836,0.009846,-98.918167,-4.063151,81.038757,0.998688,1.840405,-3.56152,82.807121,0.997241,2.224732,-3.354154,-17.296181,0.996208,-98.169441,-3.801639,-20.034357,0.998017,-98.91861,-4.063426,81.039536,1.843324,-3.562521,82.797485,2.217687,-3.347517,-17.2854,-98.162743,-3.800015,-20.034424,,,,,,,,,,,,,,,,,,
45,0.175781,1.50E-05,-4.20E-05,-2.80E-05,-1,-48.237976,-4.958259,31.499746,0.014973,-98.899521,-5.343337,80.910568,0.996357,1.859084,-4.842465,82.677063,0.994555,2.24138,-4.600423,-17.426163,0.998058,-98.15284,-5.046813,-20.162474,0.996056,-98.908737,-5.341137,80.913208,1.879071,-4.851126,82.675636,2.242344,-4.601388,-17.416843,-98.161263,-5.042049,-20.171816,,,,,,,,,,,,,,,,,,
46,0.179688,0.000113,-3.40E-05,-7.10E-05,-1,-48.258358,-4.085977,31.645411,0.016246,-98.920631,-4.4657,81.055534,0.997228,1.837906,-3.955966,82.823471,0.996047,2.221715,-3.733417,-17.2798,0.993638,-98.172424,-4.188827,-20.01755,0.99684,-98.919395,-4.470842,81.052231,1.842641,-3.957977,82.81044,2.208962,-3.721401,-17.261576,-98.164543,-4.185329,-20.015797,,,,,,,,,,,,,,,,,,
47,0.183594,1.70E-05,-1.50E-05,-9.00E-05,-1,-48.242729,-4.171028,31.550529,0.011214,-98.906937,-4.562266,80.95858,0.99735,1.851514,-4.04885,82.730591,0.996142,2.239257,-3.807053,-17.372623,0.996237,-98.154762,-4.265945,-20.114418,0.999057,-98.913315,-4.559372,80.959648,1.862974,-4.059405,82.717552,2.233203,-3.79772,-17.35705,-98.153542,-4.266774,-20.117743,,,,,,,,,,,,,,,,,,
48,0.1875,8.00E-05,-3.70E-05,-1.80E-05,-1,-48.243542,-4.917384,31.552635,0.009526,-98.905556,-5.294959,80.963028,0.998019,1.853041,-4.795953,82.7304,0.996442,2.236269,-4.566984,-17.372858,0.998995,-98.157936,-5.011642,-20.110025,0.997018,-98.910149,-5.298472,80.961945,1.867089,-4.798744,82.732567,2.237199,-4.570053,-17.368147,-98.166138,-5.004878,-20.116117,,,,,,,,,,,,,,,,,,
49,0.191406,0.000195,-3.60E-05,-3.90E-05,-1,-48.254974,-3.675965,31.646847,0.009881,-98.917114,-4.044363,81.05719,0.998453,1.841467,-3.540679,82.824722,0.997495,2.224963,-3.334638,-17.278589,0.996207,-98.16922,-3.784179,-20.015936,0.997965,-98.914124,-4.048237,81.056725,1.841822,-3.537377,82.817284,2.217521,-3.33063,-17.268602,-98.163033,-3.780308,-20.015207,,,,,,,,,,,,,,,,,,
50,0.195313,3.00E-06,-5.40E-05,1.10E-05,-1,-48.232719,-4.848457,31.495806,0.01194,-98.893105,-5.230746,80.907829,0.997015,1.865577,-4.737832,82.671921,0.99569,2.24549,-4.493407,-17.431303,0.998317,-98.148834,-4.931844,-20.165216,0.997038,-98.901047,-5.228067,80.910675,1.881181,-4.745119,82.66993,2.246395,-4.494057,-17.423557,-98.15506,-4.928569,-20.17186,,,,,,,,,,,,,,,,,,
