Format Version,1.22,Take Name,Section1 No2,Capture Frame Rate,256,Export Frame Rate,256,Capture Start Time,2019-12-12 06.12.38.256 ÂçàÂæ?Total Frames in Take,33131,Total Exported Frames,33131,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Glob,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.023438,0.000126,1.70E-05,-6.00E-06,-1,-48.229233,-6.657989,31.657078,0.069346,-98.896667,-7.029856,81.061958,0.984089,1.861755,-6.533026,82.840309,0.982451,2.25595,-6.313248,-17.262917,0.973727,-98.137978,-6.755827,-20.011045,0.990386,-98.883018,-7.06045,81.043671,1.913403,-6.563356,82.80616,2.193272,-6.250193,-17.167606,-98.14431,-6.754854,-20.049215,,,,,,,,,,,,,,,,,,
7,0.027344,0.000138,2.00E-06,-6.60E-05,-1,-48.210281,-6.080341,31.638313,0.068191,-98.876144,-6.457039,81.044777,0.984494,1.882277,-5.948205,82.82,0.981656,2.273344,-5.730779,-17.283253,0.973377,-98.120598,-6.185343,-20.028263,0.992281,-98.871452,-6.482517,81.02401,1.938053,-5.983811,82.778442,2.212647,-5.66805,-17.187021,-98.123894,-6.181866,-20.056463,,,,,,,,,,,,,,,,,,
8,0.03125,0.000262,-1.40E-05,-5.40E-05,-1,-48.195408,-4.959602,31.620323,0.068768,-98.859711,-5.322935,81.028488,0.984103,1.89878,-4.815939,82.800385,0.981997,2.286673,-4.623281,-17.302931,0.974629,-98.107384,-5.076254,-20.044643,0.990504,-98.848389,-5.349108,81.0093,1.953393,-4.851028,82.768059,2.225608,-4.559031,-17.209602,-98.115623,-5.077144,-20.081802,,,,,,,,,,,,,,,,,,
9,0.035156,0.000248,5.00E-06,-4.00E-05,-1,-48.200588,-3.724025,31.617224,0.064788,-98.866821,-4.087265,81.023415,0.985017,1.891617,-3.583278,82.799232,0.982636,2.283406,-3.387806,-17.304062,0.976149,-98.110558,-3.837753,-20.049681,0.991409,-98.860237,-4.108957,81.008575,1.943266,-3.616786,82.76368,2.228242,-3.329496,-17.215014,-98.116745,-3.837764,-20.083431,,,,,,,,,,,,,,,,,,
10,0.039063,0.000186,2.30E-05,-8.20E-05,-1,-48.214104,-2.80377,31.634291,0.067862,-98.882095,-3.177389,81.038612,0.98488,1.876239,-2.665058,82.818123,0.98348,2.271619,-2.457246,-17.285139,0.971664,-98.122192,-2.915387,-20.034431,0.992114,-98.866028,-3.211109,81.015953,1.92348,-2.693965,82.778244,2.206406,-2.39231,-17.186071,-98.125031,-2.912589,-20.06509,,,,,,,,,,,,,,,,,,
11,0.042969,0.000162,7.60E-05,-0.000114,-1,-48.227585,-2.560644,31.644512,0.071365,-98.900772,-2.939884,81.043442,0.984145,1.857325,-2.421244,82.833664,0.982308,2.263304,-2.208534,-17.269541,0.96994,-98.130196,-2.672915,-20.029505,0.992241,-98.885376,-2.968556,81.021347,1.906227,-2.457731,82.786613,2.197071,-2.135184,-17.162548,-98.133461,-2.674528,-20.060961,,,,,,,,,,,,,,,,,,
12,0.046875,0.000288,8.00E-05,-6.90E-05,-1,-48.247089,-3.029176,31.638857,0.066053,-98.920631,-3.391381,81.037552,0.985099,1.837511,-2.881345,82.8283,0.983795,2.244152,-2.693962,-17.274965,0.973493,-98.149376,-3.150016,-20.035454,0.99156,-98.907051,-3.425084,81.015793,1.886052,-2.907873,82.794754,2.180249,-2.633458,-17.182852,-98.151642,-3.146664,-20.066837,,,,,,,,,,,,,,,,,,
13,0.050781,0.0002,9.40E-05,-0.00013,-1,-48.263847,-4.095802,31.617023,0.066647,-98.938751,-4.472969,81.014214,0.98497,1.819279,-3.950874,82.807899,0.982306,2.228737,-3.745733,-17.295309,0.973239,-98.164658,-4.21363,-20.058722,0.992838,-98.92926,-4.49926,80.992256,1.871102,-3.986697,82.766014,2.169576,-3.681574,-17.197498,-98.170784,-4.211051,-20.086964,,,,,,,,,,,,,,,,,,
14,0.054688,0.000196,7.80E-05,-7.80E-05,-1,-48.269791,-5.342269,31.621496,0.065992,-98.943161,-5.714522,81.020287,0.984935,1.814965,-5.202976,82.810791,0.982657,2.221282,-4.997099,-17.292421,0.974553,-98.172241,-5.454478,-20.052671,0.991863,-98.932838,-5.741937,80.999664,1.867131,-5.235779,82.775452,2.161994,-4.935198,-17.199619,-98.179108,-5.45154,-20.084093,,,,,,,,,,,,,,,,,,
15,0.058594,0.000203,5.20E-05,-8.00E-06,-1,-48.263016,-6.313362,31.643211,0.069089,-98.933876,-6.677794,81.044655,0.984241,1.824427,-6.18038,82.829895,0.982468,2.225552,-5.975982,-17.27334,0.973298,-98.168182,-6.419292,-20.028353,0.990903,-98.924149,-6.706871,81.027054,1.876513,-6.210772,82.791878,2.162099,-5.914294,-17.178482,-98.170647,-6.417746,-20.062717,,,,,,,,,,,,,,,,,,
16,0.0625,0.000193,1.90E-05,-3.40E-05,-1,-48.239758,-6.68751,31.657211,0.066159,-98.907364,-7.055674,81.061951,0.984765,1.851022,-6.55292,82.840622,0.982345,2.245601,-6.346417,-17.262634,0.975252,-98.148277,-6.795029,-20.011101,0.991479,-98.897133,-7.080123,81.044144,1.903032,-6.587453,82.805,2.189019,-6.284918,-17.169712,-98.15728,-6.794713,-20.045755,,,,,,,,,,,,,,,,,,
17,0.066406,0.000174,5.00E-06,-4.20E-05,-1,-48.218891,-6.277342,31.647142,0.070634,-98.885048,-6.64813,81.053352,0.983817,1.873385,-6.143825,82.829086,0.981725,2.265029,-5.933647,-17.274168,0.973127,-98.128929,-6.383768,-20.019707,0.990697,-98.87767,-6.676395,81.036484,1.928127,-6.176339,82.789619,2.201569,-5.871514,-17.177792,-98.131134,-6.382078,-20.05459,,,,,,,,,,,,,,,,,,
18,0.070313,0.000207,-1.20E-05,-5.00E-06,-1,-48.203129,-5.272523,31.620789,0.063947,-98.867699,-5.63622,81.028679,0.985335,1.890827,-5.139422,82.801102,0.982283,2.279226,-4.935873,-17.302189,0.975736,-98.114861,-5.378578,-20.044428,0.992699,-98.860512,-5.662115,81.00666,1.94534,-5.17409,82.765724,2.224199,-4.877751,-17.211422,-98.124146,-5.373756,-20.072653,,,,,,,,,,,,,,,,,,
19,0.074219,0.000198,9.00E-06,-0.000122,-1,-48.204372,-4.00894,31.615269,0.066783,-98.870895,-4.38545,81.021057,0.98496,1.887441,-3.865022,82.797646,0.982939,2.279911,-3.659529,-17.305624,0.973059,-98.113953,-4.125762,-20.052008,0.992259,-98.858604,-4.411893,81.0019,1.935797,-3.898994,82.756218,2.219907,-3.594903,-17.20783,-98.118874,-4.125362,-20.08321,,,,,,,,,,,,,,,,,,
20,0.078125,0.000263,3.00E-05,-6.70E-05,-1,-48.214828,-2.970667,31.629715,0.066613,-98.883423,-3.335234,81.03347,0.985096,1.874898,-2.825647,82.81414,0.984482,2.271514,-2.633116,-17.289143,0.97256,-98.122284,-3.088672,-20.039602,0.991249,-98.867569,-3.368365,81.014351,1.919387,-2.850791,82.778343,2.205322,-2.570109,-17.195637,-98.121597,-3.088254,-20.072403,,,,,,,,,,,,,,,,,,
21,0.082031,0.000173,7.10E-05,-0.00012,-1,-48.22905,-2.55456,31.644485,0.073276,-98.901672,-2.933366,81.044006,0.983858,1.856446,-2.413366,82.833054,0.98242,2.261274,-2.202875,-17.270155,0.968335,-98.132256,-2.668633,-20.028952,0.99211,-98.885178,-2.965341,81.019356,1.905619,-2.4491,82.785515,2.189683,-2.12721,-17.16094,-98.132225,-2.670034,-20.059225,,,,,,,,,,,,,,,,,,
22,0.085938,0.000218,8.80E-05,-8.80E-05,-1,-48.249451,-2.856938,31.639956,0.067037,-98.923759,-3.228036,81.037788,0.985174,1.834326,-2.714423,82.830208,0.984358,2.242554,-2.512908,-17.273012,0.971371,-98.150917,-2.972388,-20.035158,0.99206,-98.905899,-3.261644,81.015274,1.878489,-2.742409,82.79142,2.175666,-2.445942,-17.175148,-98.151184,-2.97214,-20.065495,,,,,,,,,,,,,,,,,,
23,0.089844,0.000237,8.40E-05,-0.000128,-1,-48.267227,-3.803592,31.625803,0.068864,-98.941162,-4.176799,81.024017,0.984445,1.816906,-3.655133,82.815689,0.98226,2.224397,-3.457448,-17.287544,0.972485,-98.169044,-3.92499,-20.04895,0.991946,-98.928627,-4.203802,81.001717,1.868838,-3.691606,82.776215,2.161564,-3.388996,-17.188049,-98.175117,-3.92534,-20.080545,,,,,,,,,,,,,,,,,,
24,0.09375,0.000249,6.40E-05,-4.40E-05,-1,-48.280624,-5.036994,31.6194,0.069785,-98.952667,-5.400557,81.019623,0.984045,1.805562,-4.895724,82.807312,0.981871,2.209123,-4.70045,-17.29595,0.973241,-98.184509,-5.151242,-20.053379,0.991059,-98.942909,-5.42658,80.998924,1.860565,-4.931734,82.770805,2.145466,-4.633908,-17.199722,-98.189522,-5.151969,-20.087036,,,,,,,,,,,,,,,,,,
25,0.097656,0.000187,6.10E-05,-5.60E-05,-1,-48.272018,-6.118291,31.636421,0.064778,-98.943726,-6.489202,81.036934,0.985404,1.814492,-5.982169,82.824005,0.983741,2.217401,-5.774465,-17.279215,0.973919,-98.176239,-6.227329,-20.036041,0.992159,-98.932198,-6.519536,81.018356,1.861512,-6.00947,82.785683,2.157396,-5.715286,-17.186586,-98.178925,-6.223609,-20.066324,,,,,,,,,,,,,,,,,,
26,0.101563,0.000181,3.50E-05,-1.20E-05,-1,-48.248432,-6.662863,31.65494,0.064474,-98.917557,-7.029913,81.058128,0.985378,1.840796,-6.531633,82.839882,0.983812,2.238426,-6.322888,-17.263357,0.974587,-98.155396,-6.76702,-20.014885,0.991749,-98.906288,-7.057845,81.039749,1.888472,-6.560668,82.804916,2.178265,-6.262494,-17.173157,-98.158615,-6.76568,-20.046232,,,,,,,,,,,,,,,,,,
27,0.105469,0.000189,2.00E-06,-5.20E-05,-1,-48.227089,-6.434984,31.649578,0.070553,-98.892975,-6.805278,81.056076,0.983927,1.865454,-6.298965,82.831253,0.981791,2.256561,-6.09177,-17.272011,0.972597,-98.137405,-6.543922,-20.016998,0.991131,-98.879364,-6.838514,81.034409,1.919117,-6.330743,82.793655,2.193086,-6.027368,-17.172108,-98.145035,-6.539927,-20.052341,,,,,,,,,,,,,,,,,,
28,0.109375,0.000152,-1.30E-05,-7.90E-05,-1,-48.210594,-5.546983,31.625782,0.066559,-98.874977,-5.923618,81.033768,0.98479,1.883473,-5.412082,82.805969,0.981133,2.271574,-5.197474,-17.297295,0.974441,-98.122444,-5.654758,-20.039312,0.993078,-98.869019,-5.950747,81.01075,1.940658,-5.448908,82.764732,2.216314,-5.13795,-17.200274,-98.132668,-5.647557,-20.066954,,,,,,,,,,,,,,,,,,
29,0.113281,0.000222,6.00E-06,-0.000105,-1,-48.209835,-4.284408,31.616016,0.068194,-98.87603,-4.656865,81.022171,0.984508,1.882333,-4.139735,82.798042,0.982641,2.274122,-3.93902,-17.305237,0.973281,-98.119781,-4.402012,-20.050909,0.991376,-98.865929,-4.683344,81.004044,1.933281,-4.172852,82.759216,2.211938,-3.874875,-17.209587,-98.122604,-4.402348,-20.083891,,,,,,,,,,,,,,,,,,
30,0.117188,0.000289,6.00E-06,-5.70E-05,-1,-48.213882,-3.166299,31.624031,0.066031,-98.880142,-3.527231,81.030205,0.984905,1.878269,-3.019649,82.806068,0.983385,2.270147,-2.832353,-17.297241,0.974643,-98.123802,-3.285963,-20.042912,0.991037,-98.864494,-3.564233,81.00782,1.928586,-3.044061,82.777458,2.208181,-2.774833,-17.206224,-98.131683,-3.279362,-20.077675,,,,,,,,,,,,,,,,,,
31,0.121094,0.000148,4.90E-05,-0.000138,-1,-48.227104,-2.582988,31.638662,0.072921,-98.897606,-2.96607,81.040321,0.983879,1.86057,-2.442635,82.825111,0.982058,2.261121,-2.227058,-17.278116,0.968822,-98.132507,-2.696187,-20.032652,0.992319,-98.882011,-2.997165,81.015083,1.911365,-2.479106,82.777977,2.191199,-2.152155,-17.169073,-98.134537,-2.696177,-20.062294,,,,,,,,,,,,,,,,,,
32,0.125,0.00017,7.30E-05,-9.30E-05,-1,-48.24754,-2.71701,31.640329,0.070474,-98.920372,-3.093435,81.039635,0.984408,1.837764,-2.578884,82.829094,0.983384,2.242997,-2.367701,-17.274107,0.969936,-98.150536,-2.828021,-20.033308,0.991799,-98.902214,-3.126504,81.01767,1.883534,-2.609932,82.785675,2.174391,-2.296879,-17.169989,-98.151321,-2.828765,-20.065672,,,,,,,,,,,,,,,,,,
33,0.128906,0.000246,6.30E-05,-5.50E-05,-1,-48.265278,-3.526285,31.625525,0.070541,-98.937195,-3.891295,81.025871,0.983863,1.821019,-3.384126,82.813316,0.982202,2.224349,-3.188303,-17.289944,0.973007,-98.169289,-3.641418,-20.04714,0.990388,-98.925125,-3.917297,81.009827,1.872275,-3.418213,82.775093,2.161048,-3.121618,-17.192078,-98.173607,-3.644013,-20.085201,,,,,,,,,,,,,,,,,,
34,0.132813,0.000301,8.20E-05,-7.80E-05,-1,-48.278236,-4.728038,31.616516,0.069501,-98.951996,-5.089862,81.014977,0.983939,1.806114,-4.577992,82.806168,0.981989,2.213221,-4.393195,-17.297068,0.974349,-98.180275,-4.851102,-20.058018,0.990221,-98.943916,-5.113615,81,1.860266,-4.612387,82.770294,2.151632,-4.330028,-17.203951,-98.184052,-4.852762,-20.095278,,,,,,,,,,,,,,,,,,
35,0.136719,0.000159,5.90E-05,-9.20E-05,-1,-48.275967,-5.894671,31.630016,0.066335,-98.947502,-6.272006,81.030655,0.984927,1.810685,-5.757712,82.817467,0.982772,2.213281,-5.544463,-17.285746,0.974038,-98.180328,-6.004507,-20.042307,0.991927,-98.940613,-6.301212,81.011444,1.862953,-5.787546,82.779167,2.152609,-5.486353,-17.193638,-98.18187,-6.000134,-20.071789,,,,,,,,,,,,,,,,,,
36,0.140625,0.000212,3.30E-05,-2.40E-05,-1,-48.258942,-6.601233,31.647772,0.06763,-98.927902,-6.966419,81.051147,0.984472,1.830455,-6.46564,82.832542,0.982651,2.22775,-6.263096,-17.270718,0.974437,-98.166061,-6.709779,-20.021885,0.99081,-98.916634,-6.995417,81.033287,1.881979,-6.495739,82.798462,2.166985,-6.202353,-17.177799,-98.171669,-6.707996,-20.05776,,,,,,,,,,,,,,,,,,
37,0.144531,0.000202,9.00E-06,-4.30E-05,-1,-48.236122,-6.557613,31.653267,0.064512,-98.902718,-6.925708,81.059052,0.985178,1.855709,-6.421298,82.835663,0.982936,2.248231,-6.216583,-17.267614,0.975683,-98.145706,-6.666863,-20.014013,0.991691,-98.89209,-6.950459,81.042847,1.905238,-6.453994,82.799438,2.193433,-6.15704,-17.176418,-98.153694,-6.666377,-20.048332,,,,,,,,,,,,,,,,,,
38,0.148438,0.00013,-9.00E-06,-8.70E-05,-1,-48.216263,-5.810554,31.627201,0.063393,-98.881035,-6.190191,81.034752,0.985604,1.877386,-5.677074,82.807808,0.982465,2.266299,-5.458067,-17.295446,0.975143,-98.127693,-5.916883,-20.038307,0.993394,-98.87748,-6.214092,81.014145,1.930688,-5.712038,82.766907,2.211518,-5.399985,-17.204096,-98.132431,-5.912198,-20.062904,,,,,,,,,,,,,,,,,,
39,0.152344,0.000261,-1.80E-05,-5.80E-05,-1,-48.21199,-4.585664,31.617537,0.067984,-98.875938,-4.949482,81.026062,0.984563,1.882553,-4.441722,82.797241,0.982908,2.269741,-4.24886,-17.306074,0.973313,-98.124329,-4.702593,-20.047079,0.991232,-98.8647,-4.978274,81.006531,1.933614,-4.473274,82.760742,2.206322,-4.185498,-17.211847,-98.126785,-4.702331,-20.080048,,,,,,,,,,,,,,,,,,
40,0.15625,0.000291,-2.00E-06,-5.70E-05,-1,-48.214466,-3.409325,31.614397,0.069516,-98.879982,-3.770067,81.021339,0.983907,1.878455,-3.262386,82.795692,0.982361,2.268828,-3.075567,-17.307629,0.974486,-98.12516,-3.52928,-20.0518,0.989731,-98.866745,-3.793665,81.00296,1.93212,-3.299031,82.76619,2.205408,-3.007655,-17.215246,-98.131996,-3.535261,-20.091541,,,,,,,,,,,,,,,,,,
41,0.160156,0.000182,3.90E-05,-0.000112,-1,-48.228363,-2.660356,31.633842,0.0673,-98.897903,-3.037414,81.036537,0.985096,1.860339,-2.519135,82.819283,0.983519,2.258901,-2.310409,-17.28396,0.971362,-98.134804,-2.774468,-20.036474,0.992723,-98.88134,-3.070843,81.011177,1.907634,-2.549994,82.778931,2.193762,-2.243412,-17.183891,-98.138321,-2.771903,-20.064791,,,,,,,,,,,,,,,,,,
42,0.164063,0.000176,6.90E-05,-0.000145,-1,-48.246677,-2.618549,31.638794,0.071226,-98.919106,-2.999559,81.03849,0.98419,1.838993,-2.47454,82.827187,0.982626,2.243455,-2.264667,-17.276033,0.969921,-98.150063,-2.735432,-20.034473,0.992037,-98.904419,-3.032031,81.015511,1.88837,-2.507592,82.782387,2.175055,-2.194281,-17.171394,-98.15081,-2.734621,-20.064943,,,,,,,,,,,,,,,,,,
43,0.167969,0.000314,7.80E-05,-8.50E-05,-1,-48.263409,-3.27134,31.630653,0.068465,-98.936752,-3.632647,81.029564,0.984299,1.821376,-3.11922,82.819893,0.983137,2.227638,-2.937006,-17.283377,0.974025,-98.165894,-3.396488,-20.043459,0.990075,-98.924973,-3.660902,81.012665,1.872106,-3.14916,82.787773,2.163195,-2.874358,-17.192163,-98.167671,-3.398417,-20.080616,,,,,,,,,,,,,,,,,,
44,0.171875,0.000244,7.10E-05,-8.90E-05,-1,-48.278713,-4.424823,31.615946,0.066633,-98.951347,-4.793514,81.015526,0.9847,1.806803,-4.279493,82.804489,0.982779,2.211627,-4.083176,-17.298758,0.97484,-98.181931,-4.543113,-20.057463,0.991049,-98.942245,-4.821862,80.997467,1.859227,-4.309928,82.770645,2.151042,-4.024119,-17.208427,-98.186157,-4.540685,-20.091103,,,,,,,,,,,,,,,,,,
45,0.175781,0.000164,7.10E-05,-0.00011,-1,-48.280231,-5.649272,31.623274,0.068516,-98.952927,-6.027979,81.022713,0.984518,1.805194,-5.510022,82.811913,0.981988,2.210166,-5.297693,-17.291296,0.972679,-98.183365,-5.761396,-20.050236,0.992299,-98.945686,-6.052697,81.00267,1.858359,-5.546834,82.768425,2.14883,-5.232208,-17.192883,-98.18615,-5.760633,-20.079399,,,,,,,,,,,,,,,,,,
46,0.179688,0.000202,2.30E-05,-1.80E-05,-1,-48.267231,-6.486285,31.643993,0.067059,-98.935272,-6.851873,81.048317,0.984692,1.823116,-6.352442,82.827827,0.982958,2.218544,-6.147752,-17.275434,0.974151,-98.175331,-6.593071,-20.024733,0.991141,-98.924103,-6.881507,81.030373,1.873531,-6.381844,82.792229,2.157451,-6.087261,-17.182594,-98.179489,-6.590734,-20.058929,,,,,,,,,,,,,,,,,,
47,0.183594,0.000169,5.00E-06,-1.60E-05,-1,-48.245117,-6.637413,31.65321,0.066689,-98.911285,-7.006062,81.059425,0.984844,1.84717,-6.507115,82.835167,0.982577,2.23881,-6.29585,-17.268103,0.973904,-98.155174,-6.740622,-20.01363,0.991986,-98.903793,-7.031453,81.040672,1.898978,-6.54129,82.795593,2.178843,-6.233328,-17.17416,-98.158241,-6.739458,-20.043909,,,,,,,,,,,,,,,,,,
48,0.1875,0.000123,-1.00E-05,-7.30E-05,-1,-48.226234,-6.035503,31.63397,0.066905,-98.890945,-6.414522,81.041588,0.984863,1.867503,-5.904232,82.814499,0.982183,2.256259,-5.683639,-17.288752,0.973437,-98.137741,-6.139622,-20.031464,0.992613,-98.885536,-6.441785,81.02108,1.921276,-5.938218,82.771935,2.196486,-5.623254,-17.19351,-98.139885,-6.135465,-20.058716,,,,,,,,,,,,,,,,,,
49,0.191406,0.000251,-1.70E-05,-7.70E-05,-1,-48.214981,-4.89773,31.614899,0.06608,-98.87896,-5.264461,81.023369,0.984896,1.879517,-4.752839,82.794655,0.982558,2.266794,-4.558029,-17.308661,0.974641,-98.127258,-5.015592,-20.049763,0.991825,-98.870285,-5.293089,81.001289,1.933631,-4.785697,82.760605,2.206643,-4.497761,-17.217491,-98.132561,-5.012255,-20.080097,,,,,,,,,,,,,,,,,,
50,0.195313,0.000222,-1.80E-05,-6.10E-05,-1,-48.218128,-3.667509,31.612322,0.067368,-98.882034,-4.035484,81.020851,0.984559,1.876459,-3.527298,82.792,0.98177,2.263565,-3.326585,-17.3113,0.974394,-98.130493,-3.780667,-20.052258,0.99191,-98.87381,-4.060963,81.00135,1.930605,-3.563088,82.753204,2.206126,-3.264947,-17.215555,-98.138367,-3.778545,-20.084633,,,,,,,,,,,,,,,,,,
51,0.199219,0.000199,1.90E-05,-7.90E-05,-1,-48.227451,-2.775721,31.628546,0.067898,-98.895012,-3.147748,81.033302,0.984897,1.863331,-2.636037,82.811935,0.983606,2.257858,-2.430775,-17.291323,0.97151,-98.135979,-2.888324,-20.039753,0.992088,-98.880539,-3.181518,81.010605,1.910877,-2.664708,82.772141,2.191394,-2.365541,-17.193266,-98.136299,-2.885912,-20.069231,,,,,,,,,,,,,,,,,,
