Format Version,1.22,Take Name,Section1 No3,Capture Frame Rate,256,Export Frame Rate,256,Capture Start Time,2019-12-12 06.08.21.411 ÂçàÂæ?Total Frames in Take,33114,Total Exported Frames,33114,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Glob,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
13,0.050781,0.0002,5.60E-05,-4.40E-05,-1,-48.250034,-3.428089,31.663223,0.059718,-98.92131,-3.79651,81.064201,0.986454,1.836937,-3.291732,82.850365,0.985258,2.238959,-3.086737,-17.252867,0.976494,-98.154724,-3.53738,-20.008795,0.992076,-98.912292,-3.817885,81.051498,1.878839,-3.3205,82.815048,2.184032,-3.029441,-17.169744,-98.154831,-3.540446,-20.039408,,,,,,,,,,,,,,,,,,
14,0.054688,0.000126,4.60E-05,-8.70E-05,-1,-48.231102,-3.856488,31.644232,0.059945,-98.901314,-4.236557,81.046196,0.986308,1.856912,-3.723459,82.830353,0.983629,2.256844,-3.503574,-17.272848,0.976954,-98.136841,-3.962361,-20.026766,0.993165,-98.894432,-4.250556,81.034744,1.901364,-3.761098,82.787315,2.21004,-3.444119,-17.183529,-98.14415,-3.966519,-20.057398,,,,,,,,,,,,,,,,,,
15,0.058594,0.000208,2.00E-05,-1.60E-05,-1,-48.23209,-5.073795,31.591908,0.055167,-98.899796,-5.438535,80.996574,0.987251,1.858607,-4.93953,82.775406,0.984546,2.253372,-4.736104,-17.327852,0.979652,-98.140541,-5.181009,-20.076483,0.993384,-98.894981,-5.457911,80.982834,1.904005,-4.970134,82.741608,2.209443,-4.687246,-17.249254,-98.148521,-5.17873,-20.104136,,,,,,,,,,,,,,,,,,
16,0.0625,0.00018,3.10E-05,-6.30E-05,-1,-48.255363,-5.472527,31.578876,0.057125,-98.924133,-5.844753,80.982399,0.986931,1.834191,-5.33637,82.763489,0.984031,2.231132,-5.127394,-17.339762,0.978156,-98.162666,-5.58159,-20.09062,0.993757,-98.91906,-5.859883,80.967293,1.880546,-5.373213,82.725067,2.185251,-5.071064,-17.25614,-98.170113,-5.583053,-20.116882,,,,,,,,,,,,,,,,,,
17,0.066406,0.000204,2.00E-05,-2.30E-05,-1,-48.263596,-4.513738,31.619436,0.053567,-98.931244,-4.879556,81.024155,0.987802,1.827154,-4.379156,82.802879,0.986092,2.2218,-4.174975,-17.30039,0.979183,-98.172081,-4.621264,-20.048895,0.993355,-98.922966,-4.901629,81.010567,1.867188,-4.40438,82.770874,2.174888,-4.126184,-17.224091,-98.176338,-4.619148,-20.075632,,,,,,,,,,,,,,,,,,
18,0.070313,0.000176,3.40E-05,-1.50E-05,-1,-48.253506,-3.484612,31.656347,0.059535,-98.922539,-3.852452,81.059616,0.986472,1.835819,-3.353762,82.841202,0.984888,2.233263,-3.143853,-17.262041,0.97669,-98.160568,-3.588382,-20.013391,0.992415,-98.912224,-3.873982,81.047058,1.877709,-3.382998,82.804153,2.181382,-3.087252,-17.176596,-98.16423,-3.59018,-20.044746,,,,,,,,,,,,,,,,,,
19,0.074219,0.000158,6.70E-05,-4.90E-05,-1,-48.230236,-3.735236,31.644215,0.060375,-98.90258,-4.108229,81.044044,0.986217,1.855608,-3.602732,82.832466,0.984013,2.259821,-3.389353,-17.270744,0.976735,-98.133789,-3.84063,-20.028908,0.992661,-98.893433,-4.129222,81.030762,1.900135,-3.634727,82.79348,2.209927,-3.33301,-17.182913,-98.140175,-3.84115,-20.060383,,,,,,,,,,,,,,,,,,
20,0.078125,0.000177,2.70E-05,-8.00E-06,-1,-48.228699,-4.93889,31.597324,0.058072,-98.897133,-5.305937,81.001221,0.986553,1.861252,-4.808568,82.781563,0.983981,2.25747,-4.598919,-17.321688,0.978735,-98.136391,-5.042135,-20.071804,0.992659,-98.892715,-5.327185,80.988258,1.908398,-4.838413,82.746979,2.210458,-4.549524,-17.240488,-98.142914,-5.039173,-20.101694,,,,,,,,,,,,,,,,,,
21,0.082031,0.000119,1.00E-05,-7.10E-05,-1,-48.251492,-5.505268,31.574749,0.054254,-98.918152,-5.884424,80.980362,0.987646,1.840226,-5.374474,82.757248,0.984011,2.232932,-5.153267,-17.345976,0.978917,-98.160957,-5.608906,-20.092651,0.995171,-98.915848,-5.904124,80.96228,1.887513,-5.407784,82.717674,2.190737,-5.104203,-17.263937,-98.170135,-5.602066,-20.113125,,,,,,,,,,,,,,,,,,
22,0.085938,0.000261,3.40E-05,-5.00E-05,-1,-48.264828,-4.670115,31.611122,0.052707,-98.933876,-5.033075,81.014427,0.988142,1.824446,-4.526943,82.79599,0.986193,2.221953,-4.334167,-17.307289,0.978651,-98.171844,-4.786279,-20.058636,0.994307,-98.921432,-5.06301,80.996124,1.863455,-4.548342,82.763725,2.175795,-4.287398,-17.227869,-98.180252,-4.777807,-20.083183,,,,,,,,,,,,,,,,,,
23,0.089844,0.000196,4.90E-05,4.00E-06,-1,-48.255135,-3.562167,31.650148,0.058102,-98.925682,-3.926136,81.051918,0.986878,1.832645,-3.431153,82.83651,0.984659,2.233122,-3.225253,-17.266727,0.976797,-98.160637,-3.666127,-20.021091,0.993565,-98.919022,-3.949368,81.038605,1.875025,-3.458831,82.79528,2.184054,-3.173213,-17.180698,-98.164032,-3.662478,-20.047867,,,,,,,,,,,,,,,,,,
24,0.09375,0.000162,4.50E-05,-2.00E-05,-1,-48.23325,-3.630836,31.645987,0.061014,-98.903389,-4.000621,81.048119,0.986174,1.854923,-3.500822,82.831963,0.98444,2.254609,-3.288148,-17.271257,0.975877,-98.139145,-3.733755,-20.02487,0.992495,-98.891075,-4.026752,81.030144,1.899752,-3.530268,82.797234,2.199852,-3.230047,-17.183569,-98.144638,-3.733022,-20.05533,,,,,,,,,,,,,,,,,,
25,0.097656,0.000212,1.70E-05,-1.90E-05,-1,-48.229698,-4.786881,31.600233,0.057007,-98.897057,-5.151609,81.005257,0.986901,1.861367,-4.651886,82.783371,0.98469,2.255399,-4.4492,-17.319902,0.978539,-98.138512,-4.894829,-20.067801,0.992864,-98.893059,-5.176316,80.989929,1.907936,-4.677753,82.751137,2.205598,-4.401686,-17.241596,-98.141747,-4.889579,-20.094566,,,,,,,,,,,,,,,,,,
26,0.101563,0.000168,1.60E-05,-8.50E-05,-1,-48.248676,-5.51801,31.570681,0.055442,-98.915932,-5.893651,80.975723,0.987327,1.842409,-5.380877,82.753784,0.984248,2.23634,-5.169483,-17.349463,0.978744,-98.157516,-5.62803,-20.097315,0.994239,-98.914436,-5.909894,80.958855,1.89031,-5.415863,82.716949,2.190538,-5.117049,-17.269705,-98.162704,-5.626531,-20.119411,,,,,,,,,,,,,,,,,,
27,0.105469,0.000268,2.60E-05,-3.40E-05,-1,-48.26429,-4.821371,31.600584,0.05536,-98.932594,-5.182097,81.004662,0.987398,1.825768,-4.679122,82.784683,0.985712,2.221759,-4.487644,-17.318604,0.97845,-98.172096,-4.936623,-20.068415,0.99308,-98.922302,-5.208099,80.989594,1.867023,-4.703676,82.7528,2.17304,-4.438348,-17.239634,-98.177414,-4.932951,-20.096605,,,,,,,,,,,,,,,,,,
28,0.109375,0.00019,4.60E-05,-3.50E-05,-1,-48.257927,-3.654648,31.646456,0.058836,-98.928139,-4.023173,81.048515,0.986742,1.830153,-3.520304,82.832512,0.985542,2.230007,-3.313199,-17.270721,0.976326,-98.163734,-3.761918,-20.024487,0.992554,-98.917564,-4.044777,81.035454,1.870325,-3.54893,82.795517,2.176373,-3.25562,-17.186625,-98.164299,-3.764815,-20.054213,,,,,,,,,,,,,,,,,,
29,0.113281,0.000143,3.30E-05,8.00E-06,-1,-48.236538,-3.542429,31.648207,0.0582,-98.905502,-3.911173,81.051544,0.986832,1.85287,-3.41721,82.832977,0.984868,2.250165,-3.200788,-17.270248,0.976876,-98.143684,-3.640544,-20.02145,0.993222,-98.894569,-3.935883,81.036217,1.895091,-3.44569,82.795624,2.200199,-3.146306,-17.184443,-98.149689,-3.638352,-20.050245,,,,,,,,,,,,,,,,,,
30,0.117188,0.000128,1.80E-05,-3.00E-05,-1,-48.23003,-4.636468,31.605448,0.056875,-98.89753,-5.010602,81.010254,0.986954,1.860861,-4.509006,82.788765,0.984385,2.25522,-4.289468,-17.314465,0.978448,-98.138672,-4.736799,-20.062763,0.993338,-98.891861,-5.036948,80.994545,1.906842,-4.534951,82.754135,2.207898,-4.242427,-17.233135,-98.14547,-4.729402,-20.089804,,,,,,,,,,,,,,,,,,
31,0.121094,0.000155,2.20E-05,-9.90E-05,-1,-48.251884,-5.503068,31.570271,0.055447,-98.919678,-5.881532,80.974739,0.986954,1.838639,-5.365927,82.753929,0.984385,2.233658,-5.151738,-17.349314,0.978448,-98.160164,-5.613079,-20.09828,0.993338,-98.915825,-5.905291,80.954552,1.887163,-5.39642,82.717918,2.188476,-5.103649,-17.267563,-98.168793,-5.605121,-20.120064,,,,,,,,,,,,,,,,,,
32,0.125,0.000233,2.00E-05,-1.00E-06,-1,-48.266903,-4.964816,31.593956,0.056212,-98.934563,-5.325512,80.998695,0.987062,1.823857,-4.829453,82.77739,0.98514,2.218507,-4.631138,-17.32589,0.978937,-98.175415,-5.073159,-20.074371,0.992649,-98.925369,-5.344732,80.982224,1.868617,-4.860666,82.74897,2.169231,-4.576097,-17.247978,-98.182396,-5.075157,-20.103546,,,,,,,,,,,,,,,,,,
33,0.128906,0.000174,5.70E-05,-4.90E-05,-1,-48.261795,-3.767141,31.641069,0.058622,-98.933159,-4.138694,81.041931,0.986708,1.825076,-3.632977,82.828316,0.984736,2.22728,-3.422683,-17.274912,0.976893,-98.166382,-3.87421,-20.031046,0.993041,-98.924751,-4.159503,81.029213,1.867613,-3.663394,82.78875,2.177647,-3.367888,-17.189537,-98.169846,-3.874646,-20.060125,,,,,,,,,,,,,,,,,,
34,0.132813,0.000184,3.90E-05,-7.00E-06,-1,-48.242222,-3.47511,31.649429,0.056952,-98.911781,-3.84138,81.052177,0.986996,1.846552,-3.344133,82.834808,0.984961,2.245069,-3.13591,-17.268431,0.978068,-98.148727,-3.579017,-20.020836,0.993023,-98.90329,-3.862855,81.038826,1.889322,-3.373084,82.799278,2.197069,-3.083845,-17.186472,-98.15432,-3.578082,-20.049894,,,,,,,,,,,,,,,,,,
35,0.136719,0.000134,3.80E-05,-4.10E-05,-1,-48.232475,-4.480888,31.614487,0.055681,-98.901901,-4.855528,81.017326,0.987266,1.856416,-4.351714,82.799759,0.984761,2.254672,-4.133379,-17.303459,0.978681,-98.139107,-4.582932,-20.05567,0.993611,-98.89621,-4.875844,81.003716,1.90012,-4.381483,82.763008,2.209362,-4.083436,-17.222528,-98.145187,-4.580628,-20.082468,,,,,,,,,,,,,,,,,,
36,0.140625,0.000145,2.50E-05,-6.70E-05,-1,-48.249699,-5.467071,31.575949,0.052969,-98.91787,-5.843307,80.980049,0.987951,1.840461,-5.334098,82.759972,0.984614,2.236213,-5.117964,-17.343264,0.979341,-98.1576,-5.572913,-20.09296,0.995125,-98.913422,-5.865654,80.961617,1.885916,-5.364071,82.722923,2.19445,-5.071323,-17.263163,-98.167122,-5.565161,-20.113935,,,,,,,,,,,,,,,,,,
37,0.144531,0.000207,2.90E-05,-1.30E-05,-1,-48.268242,-5.099644,31.589251,0.054924,-98.936829,-5.464258,80.993027,0.987454,1.821563,-4.965779,82.773628,0.985611,2.218075,-4.762081,-17.32963,0.978878,-98.175789,-5.20646,-20.080011,0.993133,-98.928566,-5.479164,80.979485,1.863473,-4.999708,82.740913,2.170512,-4.705647,-17.251823,-98.180527,-5.211461,-20.107637,,,,,,,,,,,,,,,,,,
38,0.148438,0.000172,5.90E-05,-6.80E-05,-1,-48.268993,-3.887536,31.640135,0.057782,-98.940445,-4.261084,81.040886,0.987131,1.817763,-3.751709,82.827484,0.984979,2.220187,-3.54109,-17.275732,0.975856,-98.173454,-3.996259,-20.032093,0.994253,-98.928947,-4.280927,81.023003,1.858947,-3.785875,82.786278,2.16978,-3.480411,-17.186853,-98.179123,-3.997699,-20.056932,,,,,,,,,,,,,,,,,,
39,0.152344,0.000196,4.60E-05,-3.50E-05,-1,-48.246861,-3.430342,31.652279,0.059413,-98.917152,-3.798267,81.054268,0.986316,1.841132,-3.295406,82.838417,0.984367,2.241157,-3.089487,-17.26482,0.977795,-98.15258,-3.538211,-20.018745,0.992109,-98.906044,-3.822039,81.039459,1.88639,-3.324496,82.806503,2.190744,-3.035202,-17.181194,-98.160934,-3.537295,-20.051718,,,,,,,,,,,,,,,,,,
40,0.15625,0.000129,2.50E-05,-3.90E-05,-1,-48.232292,-4.3346,31.618446,0.05728,-98.900452,-4.709553,81.02256,0.986955,1.857907,-4.206101,82.802444,0.984689,2.253614,-3.986782,-17.300781,0.977767,-98.140236,-4.435965,-20.050444,0.993308,-98.898048,-4.732487,81.009064,1.90315,-4.233021,82.764534,2.204132,-3.938879,-17.220213,-98.140724,-4.431742,-20.075649,,,,,,,,,,,,,,,,,,
41,0.160156,0.000126,1.50E-05,-5.70E-05,-1,-48.248268,-5.407511,31.574883,0.056105,-98.915428,-5.784549,80.980003,0.987135,1.842942,-5.277502,82.757889,0.98411,2.236653,-5.057617,-17.34535,0.978717,-98.157242,-5.510376,-20.093008,0.993932,-98.911911,-5.803992,80.962509,1.890925,-5.310351,82.722626,2.190535,-5.006682,-17.264637,-98.164513,-5.50702,-20.117167,,,,,,,,,,,,,,,,,,
42,0.164063,0.000231,3.20E-05,-2.50E-05,-1,-48.271381,-5.212894,31.584513,0.054646,-98.940269,-5.576248,80.987976,0.98756,1.818083,-5.075342,82.769218,0.984818,2.215251,-4.876572,-17.334059,0.978742,-98.178581,-5.323418,-20.085073,0.994234,-98.935158,-5.597098,80.971298,1.863024,-5.106103,82.73304,2.169905,-4.827001,-17.254183,-98.184929,-5.319735,-20.108515,,,,,,,,,,,,,,,,,,
43,0.167969,0.000147,5.20E-05,-0.000105,-1,-48.270798,-4.021214,31.632685,0.056345,-98.941597,-4.401102,81.034065,0.987433,1.816601,-3.884266,82.819397,0.985124,2.217714,-3.668468,-17.283815,0.976552,-98.175926,-4.13102,-20.038906,0.994546,-98.929459,-4.426708,81.015312,1.857447,-3.913495,82.779716,2.169464,-3.613766,-17.196243,-98.183701,-4.126401,-20.06325,,,,,,,,,,,,,,,,,,
44,0.171875,0.000163,4.00E-05,-1.80E-05,-1,-48.251167,-3.401409,31.650536,0.059283,-98.920792,-3.770824,81.053192,0.98638,1.837525,-3.271551,82.835999,0.984015,2.236191,-3.059088,-17.267235,0.977674,-98.1576,-3.504173,-20.019808,0.992648,-98.916351,-3.791913,81.039864,1.884573,-3.302021,82.799431,2.186248,-3.006731,-17.184298,-98.16156,-3.502473,-20.048742,,,,,,,,,,,,,,,,,,
45,0.175781,0.000113,4.60E-05,-0.000123,-1,-48.232353,-4.185422,31.621061,0.056929,-98.902527,-4.570408,81.023041,0.987096,1.855668,-4.050186,82.807175,0.985033,2.255548,-3.827617,-17.296036,0.977538,-98.138107,-4.293477,-20.049923,0.993404,-98.894859,-4.593118,81.010948,1.896644,-4.077158,82.767609,2.208168,-3.777485,-17.212086,-98.142181,-4.291058,-20.078087,,,,,,,,,,,,,,,,,,
46,0.179688,0.000133,1.90E-05,-4.80E-05,-1,-48.243866,-5.332228,31.577173,0.056073,-98.911461,-5.707705,80.981865,0.987151,1.846902,-5.202372,82.760612,0.984132,2.241481,-4.983886,-17.342627,0.978671,-98.152382,-5.43495,-20.09115,0.993974,-98.906105,-5.728413,80.962944,1.894733,-5.235198,82.726608,2.195221,-4.932115,-17.261255,-98.161484,-5.43112,-20.115648,,,,,,,,,,,,,,,,,,
47,0.183594,0.000218,2.40E-05,-4.80E-05,-1,-48.26437,-5.317614,31.577412,0.054004,-98.932419,-5.684658,80.981712,0.987657,1.825936,-5.17911,82.761284,0.985162,2.221424,-4.977622,-17.34199,0.979274,-98.172424,-5.429066,-20.091347,0.993902,-98.927513,-5.703918,80.965073,1.870908,-5.21007,82.728302,2.175337,-4.927505,-17.265228,-98.177872,-5.427298,-20.115103,,,,,,,,,,,,,,,,,,
48,0.1875,0.000166,5.10E-05,-0.000121,-1,-48.268925,-4.165666,31.625025,0.05427,-98.939583,-4.545258,81.02655,0.98784,1.818612,-4.025141,82.811592,0.985809,2.219442,-3.813203,-17.291632,0.977763,-98.174194,-4.279062,-20.046421,0.994318,-98.932701,-4.565845,81.010483,1.859498,-4.054271,82.774124,2.171196,-3.761219,-17.211523,-98.1763,-4.277525,-20.068676,,,,,,,,,,,,,,,,,,
49,0.191406,0.00023,5.50E-05,-1.30E-05,-1,-48.249584,-3.405026,31.648655,0.060584,-98.920715,-3.767292,81.049828,0.9862,1.837578,-3.268776,82.835617,0.984408,2.239261,-3.069787,-17.267633,0.976483,-98.154457,-3.51425,-20.023182,0.992324,-98.91243,-3.789718,81.032471,1.884657,-3.300275,82.802254,2.183831,-3.012023,-17.183908,-98.157127,-3.515289,-20.051996,,,,,,,,,,,,,,,,,,
50,0.195313,8.60E-05,4.00E-05,-0.000108,-1,-48.229572,-4.046916,31.621628,0.058493,-98.899155,-4.4331,81.0242,0.986762,1.85908,-3.91593,82.807121,0.984399,2.25775,-3.687934,-17.296064,0.976796,-98.135963,-4.1507,-20.048752,0.993549,-98.89122,-4.450468,81.010445,1.902037,-3.950834,82.765694,2.209438,-3.630372,-17.20878,-98.14138,-4.153305,-20.07666,,,,,,,,,,,,,,,,,,
51,0.199219,0.000171,1.60E-05,-4.40E-05,-1,-48.238209,-5.236977,31.577845,0.055278,-98.90551,-5.608271,80.982864,0.987199,1.852874,-5.10362,82.760963,0.983923,2.246845,-4.892779,-17.342285,0.979775,-98.147049,-5.343239,-20.090174,0.993824,-98.90554,-5.626144,80.964752,1.903482,-5.137428,82.728836,2.201367,-4.843841,-17.265589,-98.15406,-5.339988,-20.113289,,,,,,,,,,,,,,,,,,
